nomeDoProduto,preco,marca,memoriaRam,processador,tipoDeGabinete,imagem,promocao
-,"£1,741.35",ASUS,16 GB,Intel Core i7,Tower,-,-
HP OMEN 45L GT22-1020na i7-13700K Tower,"£3,099.00",HP,32 GB,Intel Core i9,Tower,-,-
Lenovo ThinkCentre M70t Gen 3 11T6002FGE,£418.81,Lenovo,8 GB,Intel Core i5,Tower,-,-
Dell OptiPlex 7000 (73GRF),£734.99,Dell,16 GB,Intel Core i7,Compact,-,-
Acer Aspire C27-1800 AIO,£649.00,Acer,8 GB,-,All-in-one,-,-
Acer Chromebox CXI5 Mini PC,£303.64,Acer,-,Intel Celeron,Compact,-,-
Lenovo IdeaCentre 3 23.8in R3 4GB 512GB,£578.59,Lenovo,-,-,All-in-one,-,-
Apple Mac mini (2020) M1 8GB 256GB SSD,£703.99,Apple,8 GB,Apple M1,Compact,-,-
-,"£1,142.04",Acer,16 GB,Intel Core i5,Tower,-,-
MSI MPG Trident A 11TC-2066UK,"£1,877.24",MSI,32 GB,Intel Core i7,Compact,-,-
Apple Mac mini (2020) M1 8GB 512GB SSD,£749.99,Apple,8 GB,Apple M1,Compact,-,-
-,-,-,-,-,-,-,-
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
Dell EMC PowerEdge T150 4U Mini-tower Server,£780.90,Dell,-,-,Tower,-,3.01 %
Lenovo ThinkCentre neo 50q Core i5,£479.99,Lenovo,-,-,-,-,2.44 %
-,£599.99,Lenovo,8 GB,Intel Core i5,Compact,-,-
Lenovo ThinkCentre M70t i5-12400 Tower,£622.28,Lenovo,8 GB,Intel Core i5,Compact,-,4.26 %
Lenovo ThinkCentre neo 50s SFF 11T000FDUK Core,£629.99,Lenovo,16 GB,Intel Core i7,-,-,1.56 %
Acer ConceptD 300 CT300-51A (DT.C08EK.006),"£1,930.72",Acer,16 GB,Intel Core i7,Tower,-,-
Dell OptiPlex 24 9H0FJ i5-13500T 256GB,£702.31,Dell,-,Intel Core i5,"All-in-one, Compact",-,-
-,£383.84,Dell,8 GB,Intel Core i3,-,-,1.43 %
Lenovo ThinkCentre M70q Gen 3 Tiny,£459.99,Lenovo,8 GB,Intel Core i5,Compact,-,2.13 %
Lenovo ThinkCentre M70s i5-12400 SFF IntelÂ® Coreâ¢,£489.99,Lenovo,8 GB,Intel Core i5,-,-,-
Dell OptiPlex 24 AIO Plus Core i5-13500,£947.81,Dell,16 GB,-,All-in-one,-,0.71 %
-,£472.52,HP,8 GB,Intel Core i5,Compact,-,4.19 %
Dell OptiPlex 24 AIO Plus Core i5-13500,"£1,035.76",Dell,16 GB,-,-,-,-
Dell p3460sff i713700 16g/512gb w11p m21r4,"£1,085.82",Dell,16 GB,Intel Core i7,Compact,"https://www.pricerunner.com/product/40x40/3011361383/Dell-p3460sff-i713700-16g-512gb-w11p-m21r4.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3011361383/Dell-p3460sff-i713700-16g-512gb-w11p-m21r4.jpg?ph=true&fmt=avif 2x",0.74 %
Lenovo ThinkCentre Neo 50s 11T0003JUK,£560.20,Lenovo,8 GB,Intel Core i5,Tower,"https://www.pricerunner.com/product/40x40/3006320121/Lenovo-ThinkCentre-Neo-50s-11T0003JUK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006320121/Lenovo-ThinkCentre-Neo-50s-11T0003JUK.jpg?ph=true&fmt=avif 2x",0.98 %
Lenovo ThinkCentre M60e 11LV005FUK,£379.99,Lenovo,8 GB,Intel Core i3,Compact,-,2.56 %
Lenovo ThinkEdge SE30 (11NA0006UK),£654.99,Lenovo,8 GB,Intel Core i3,Compact,-,-
Dell Precision T5820 (58H31),"£1,766.99",Dell,32 GB,Intel Xeon W,Tower,-,-
Dell Vostro 3710 (5VKMH),£579.76,Dell,8 GB,Intel Core i5,Compact,-,-
Intel NUC 11 Essential Kit - NUC11ATKPE,£184.45,Intel,-,Intel Pentium,Barebone,-,-
Lenovo ThinkCentre M70q Gen 3 11T3002SUK,£478.99,Lenovo,8 GB,Intel Core i5,Compact,-,2.05 %
Acer Veriton Essential N VEN2580 (DT.VV4EG.005),£523.97,Acer,8 GB,Intel Core i3,Compact,-,-
Gigabyte Brix GB-BPCE-3350C (rev. 1.0),£8.76,Gigabyte,-,Intel Celeron,Barebone,-,45.39 %
MSI MEG Aegis TI5 11TE-286UK,"£3,355.31",MSI,64 GB,Intel Core i7,Tower,-,-
PC Specialist Fusion R5 Base Unit,£849.00,PC Specialist,-,-,Tower,-,22.75 %
Acer Predator PO3-640 Gaming (DG.E2WEK.00P),£849.98,Acer,16 GB,Intel Core i5,Tower,-,14.11 %
ASUS ROG Strix G15DK-AM003DT,"£1,614.24",ASUS,16 GB,AMD Ryzen 7,Tower,-,-
PCSpecialist PCSPECIALIST Nexa 540 Gaming PC,"£3,699.00",PCSpecialist,-,-,Tower,-,-
Lenovo IdeaCentre 3 07ADA05 90MV0014UK,£328.99,Lenovo,8 GB,AMD Ryzen 5,Tower,-,-
Lenovo ThinkStation P360 Tiny 30FA004LUK,£679.99,Lenovo,16 GB,-,-,-,2.86 %
Dell PowerEdge T150,"£1,018.81",Dell,16 GB,Intel Xeon E,Tower,-,-
Intel NUC 12 Pro Mini PC NUC12WSKi5,£395.99,Intel,-,Intel Core i5,Barebone,"https://www.pricerunner.com/product/40x40/3006616954/Intel-NUC-12-Pro-Mini-PC-NUC12WSKi5.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006616954/Intel-NUC-12-Pro-Mini-PC-NUC12WSKi5.jpg?ph=true&fmt=avif 2x",-
Lenovo T1A ThinkCentre M700 Refurbished i5-6500 mini,£182.00,Lenovo,8 GB,-,-,"https://www.pricerunner.com/product/40x40/3010300150/Lenovo-T1A-ThinkCentre-M700-Refurbished-i5-6500-mini.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3010300150/Lenovo-T1A-ThinkCentre-M700-Refurbished-i5-6500-mini.jpg?ph=true&fmt=avif 2x",-
