nomeDoProduto,preco,marca,memoriaRam,processador,tipoDeGabinete,imagem,promocao
Dell OptiPlex 5090 (XHK00),£569.36,Dell,16 GB,Intel Core i5,Compact,-,-
Dell OptiPlex 5000 (J596Y),£604.70,Dell,8 GB,Intel Core i5,Compact,-,-
Dell OptiPlex 3080 WR1J6,£611.96,Dell,8 GB,Intel Core i5,Tower,-,-
HP 290 G3 44G59ES,£613.28,HP,8 GB,Intel Core i5,Tower,-,-
Lenovo ThinkStation P348 30EQ0011UK,£631.99,Lenovo,8 GB,Intel Core i5,Tower,-,-
Lenovo IdeaCentre AIO 3 27IMB05 F0EY004MUK,£662.00,Lenovo,8 GB,Intel Core i3,All-in-one,-,-
Lenovo IdeaCentre G5 14IMB05 90N90024UK,£727.47,Lenovo,8 GB,Intel Core i3,Tower,-,-
Lenovo ThinkCentre M80s 11CU0022UK,£734.84,Lenovo,8 GB,Intel Core i5,Tower,-,-
Lenovo V30a-24IIL AIO 11LA000HUK,£737.70,Lenovo,8 GB,Intel Core i5,All-in-one,"https://www.pricerunner.com/product/40x40/3003887234/Lenovo-V30a-24IIL-AIO-11LA000HUK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3003887234/Lenovo-V30a-24IIL-AIO-11LA000HUK.jpg?ph=true&fmt=avif 2x",-
Optoma OPS3-i5-TPM OPS Slot-in 128GB,£780.00,Optoma,-,-,-,"https://www.pricerunner.com/product/40x40/3007447420/Optoma-OPS3-i5-TPM-OPS-Slot-in-128GB.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3007447420/Optoma-OPS3-i5-TPM-OPS-Slot-in-128GB.jpg?ph=true&fmt=avif 2x",-
Dell OptiPlex 7080 C35KD,£804.47,Dell,8 GB,Intel Core i5,Tower,-,-
Lenovo ThinkCentre M70t 11EV001LUK,£883.45,Lenovo,16 GB,Intel Core i7,Tower,-,-
Lenovo Legion T5-28 90NC00AYUK,£949.45,Lenovo,16 GB,Intel Core i5,Tower,-,-
Acer ConceptD CM100-51A (DT.C05EK.006),£967.08,Acer,16 GB,Intel Core i5,Tower,-,-
MSI Modern AM241P 11M-059AT,£979.67,MSI,8 GB,Intel Core i5,All-in-one,-,-
Lenovo ThinkEdge SE30 (11NA000DGE),"£1,021.28",Lenovo,16 GB,Intel Core i5,Compact,-,-
Viewsonic VPC25-O-B Series i5-10400T Slim,"£1,085.90",Viewsonic,8 GB,Intel Core i5,-,-,-
Lenovo ThinkStation P348 30EQ0007UK,"£1,156.99",Lenovo,16 GB,Intel Core i7,Tower,-,-
Lenovo Legion T5 28IMB05 90NC00E0UK,"£1,179.31",Lenovo,16 GB,Intel Core i5,Tower,-,-
Lenovo ThinkCentre M90a 11CD004UUK,"£1,238.47",Lenovo,16 GB,Intel Core i7,All-in-one,-,-
Lenovo ThinkStation P520c 30BX00BHUK,"£1,433.20",Lenovo,16 GB,Intel Xeon W,Tower,-,-
Lenovo Legion T5 90RC00N4UK,"£1,931.99",Lenovo,32 GB,AMD Ryzen 7,Tower,-,-
Fujitsu Celsius M7010 (VFY:M7010WP666IN),"£3,012.95",Fujitsu,64 GB,Intel Xeon W,Tower,-,-
Fujitsu Celsius M7010 (VFY:M7010W18AMIN),"£3,451.42",Fujitsu,64 GB,Intel Xeon W,Tower,-,-
Zotac ZBOX M Series MI351 (ZBOX-MI351-E),£164.68,Zotac,-,Intel Celeron,Barebone,-,-
-,£379.53,MSI,-,-,All-in-one,-,-
Acer Aspire XC-1760 Mini-PC,£472.47,Acer,-,Intel Core i5,Compact,"https://www.pricerunner.com/product/40x40/3013830713/Acer-Aspire-XC-1760-Mini-PC.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3013830713/Acer-Aspire-XC-1760-Mini-PC.jpg?ph=true&fmt=avif 2x",-
HP Pro 400 G9 Mini 6B239EA,£539.92,HP,8 GB,Intel Core i3,Compact,"https://www.pricerunner.com/product/40x40/3006645134/HP-Pro-400-G9-Mini-6B239EA.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006645134/HP-Pro-400-G9-Mini-6B239EA.jpg?ph=true&fmt=avif 2x",-
Acer Veriton Vero N4 VVN4690GT mini,£573.21,Acer,16 GB,Intel Core i5,Compact,-,-
-,£615.52,HP,32 GB,Intel Core i7,Compact,-,-
Acer Veriton Z4 VZ4697G (DQ.VWLEG.001),£665.96,Acer,8 GB,Intel Core i5,All-in-one,-,-
"HP Pavilion All-in-One 24-ca2000ng, PC-System",£769.40,HP,-,-,All-in-one,-,-
HP Victus 15L TG02-0025ng,£769.40,HP,16 GB,AMD Ryzen 7,Tower,-,-
"Apple iMac Retina 5K Core i7 3.8GHz 8GB 512GB Radeon Pro 5500 XT 27""","£1,899.00",Apple,8 GB,Intel Core i7,All-in-one,-,-
Apple Mac Studio MQH73D/A-Z17Z002 Mid 2023 M2 Max,"£2,085.09",Apple,32 GB,Apple M2 Max,-,-,-
-,"£2,779.07",MSI,32 GB,Intel Core i7,Tower,-,-
Intel Next Unit of Computing 11 Essential Kit - BNUC11ATKC20000,£129.98,Intel,-,Intel Celeron,Barebone,-,5.29 %
HP Pro Small Form Factor 400,£638.99,HP,-,-,-,-,10.00 %
Intel NUC 12 Pro Kit - NUC12WSKi3,£344.36,Intel,-,Intel Core i3,Barebone,-,-
-,£473.93,-,-,Intel Core i3,Compact,-,-
Lenovo IdeaCentre 3i Desktop PC,£547.97,Lenovo,-,-,-,-,-
HP Pro 400 G9 SFF 6U488EA#ABU Core i5-13500 256GB,£668.68,HP,-,Intel Core i5,-,-,-
-,£820.18,ASUS,-,-,Compact,-,-
HPE ProLiant DL20 Gen10 Plus Base,"£1,033.38",HPE,-,-,-,-,0.89 %
-,"£1,102.05",PcCom,-,-,Tower,-,-
Elo Touch Solutions I-Series E692837,"£1,117.19",Elo,4 GB,Intel Celeron,All-in-one,"https://www.pricerunner.com/product/40x40/3006645111/Elo-Touch-Solutions-I-Series-E692837.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006645111/Elo-Touch-Solutions-I-Series-E692837.jpg?ph=true&fmt=avif 2x",-
Elo Touch Solutions I-Series E850387,"£1,568.48",Elo,-,-,-,-,-
Dell EMC PowerEdge R250 1U Rack Server,"£1,594.58",Dell,16 GB,-,Tower,-,-
Gigabyte BRIX GB-BLCE-4000C,£138.15,Gigabyte,-,Intel Celeron,Barebone,-,-
Gigabyte BRIX s GB-BLCE-4105 (rev. 1.0),£147.98,Gigabyte,-,Intel Celeron,Barebone,-,-
Intel Next Unit of Computing 11 Essential Kit NUC11ATKC4,£192.05,Intel,-,Intel Pentium Silver,Barebone,-,-
ASUS Mini PC PN41 BBC029MCS1,£224.25,ASUS,-,Intel Celeron,Barebone,-,-
ASUS Expertcenter D5 Sff D500Sces-310105007W,£339.00,ASUS,8 GB,-,-,-,-
-,£462.75,Acer,8 GB,-,Compact,-,-
-,£484.39,-,8 GB,-,Compact,-,-
Iggual Desktop PC PSIPCH704 i5-124000 16GB,£498.37,Iggual,16 GB,-,-,-,-
Acer Desktop PC VS2690G 8,£499.92,Acer,8 GB,-,Compact,-,-
Acer Desktop PC Veriton X X2690G,£503.44,Acer,8 GB,-,-,-,-
Acer Desktop PC Veriton X X2690G,£503.91,Acer,8 GB,Intel Core i5,-,-,-
-,£507.73,-,-,-,Barebone,-,-
-,£508.99,Aopen,-,-,-,-,-
Iggual Desktop PC PSIPCH611 250,£513.73,Iggual,8 GB,Intel Core i3,-,-,-
Iggual Desktop PC PSIPCH801 i5-12400 16GB,£524.19,Iggual,16 GB,-,-,"https://www.pricerunner.com/product/40x40/3006604406/Iggual-Desktop-PC-PSIPCH801-i5-12400-16GB.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006604406/Iggual-Desktop-PC-PSIPCH801-i5-12400-16GB.jpg?ph=true&fmt=avif 2x",-
ASUS PN64-BB5013MD 90MR00U2-M000D0,£527.58,ASUS,-,Intel Core i5,Barebone,"https://www.pricerunner.com/product/40x40/3006334402/ASUS-PN64-BB5013MD-90MR00U2-M000D0.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006334402/ASUS-PN64-BB5013MD-90MR00U2-M000D0.jpg?ph=true&fmt=avif 2x",-
HP Desktop PC Slim Desktop S01-pF2027ns,£540.35,HP,8 GB,-,-,-,-
-,£541.24,Primux,8 GB,Intel Core i3,All-in-one,-,-
-,£541.42,HP,8 GB,-,-,-,-
-,£545.03,Acer,8 GB,-,-,-,-
Lenovo Desktop PC IdeaCentre 3 07ACH7,£550.56,Lenovo,-,AMD Ryzen 5,-,-,-
-,£555.65,HP,8 GB,-,Compact,-,-
-,£564.71,HP,8 GB,-,-,-,-
HP Desktop PC PRO SFF 290 G9,£565.64,HP,8 GB,-,-,-,-
-,£571.13,Dell,-,Intel Core i5,Compact,-,-
Acer Desktop PC VS2690 256,£576.30,Acer,8 GB,Intel Core i5,Tower,-,-
ASUS Mini PC ExpertCenter D5 I5-12400,£579.79,ASUS,8 GB,-,Compact,-,-
MSI PC Cubi 5 12M-005EU,£579.92,MSI,8 GB,Intel Core i3,Compact,-,10.82 %
Leotec Mini pc gyors 256 gb,£580.71,Leotec,8 GB,-,Compact,-,-
-,£580.82,Iggual,8 GB,Intel Core i3,-,-,-
-,£582.14,Iggual,8 GB,Intel Core i5,-,-,-
Iggual Desktop PC PSIPCH613 Core I5 10400 500,£586.35,Iggual,-,Intel Core i5,-,-,-
Iggual Desktop PC PSIPCH532 Core I5 10400,£587.31,Iggual,-,Intel Core i5,-,-,-
-,£588.19,Acer,8 GB,Intel Core i5,Compact,-,-
Acer Desktop PC VX2690 I5-12400 256,£602.70,Acer,8 GB,-,-,-,-
HP Desktop PC 6B246EA#ABE,£604.11,HP,-,-,Compact,-,-
-,£605.84,Dell,-,Intel Core i5,Compact,-,-
-,£605.84,Dell,16 GB,Intel Core i5,Compact,-,-
-,£605.84,Lenovo,8 GB,-,Compact,-,-
Iggual Desktop PSIPCH705 i7-127000 16GB,£617.94,Iggual,-,Intel Core i7,-,-,-
-,£619.59,ASUS,8 GB,Intel Core i5,-,-,-
Lenovo Desktop pc THINKCENTRE M70Q I3-12100T,£621.56,Lenovo,8 GB,Intel Core i3,Compact,-,-
-,£624.05,Dell,8 GB,Intel Core i5,Compact,-,-
HP Desktop PC Desktop M01-F3005ns,£625.91,HP,-,AMD Ryzen 5,Tower,-,-
Lenovo Desktop PC IdeaCentre 5,£625.93,Lenovo,-,AMD Ryzen 5,-,"https://www.pricerunner.com/product/40x40/3008927959/Lenovo-Desktop-PC-IdeaCentre-5.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3008927959/Lenovo-Desktop-PC-IdeaCentre-5.jpg?ph=true&fmt=avif 2x",-
HP Desktop PC PRO SFF 400 G9,£639.12,HP,8 GB,Intel Core i3,-,"https://www.pricerunner.com/product/40x40/3012765543/HP-Desktop-PC-PRO-SFF-400-G9.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3012765543/HP-Desktop-PC-PRO-SFF-400-G9.jpg?ph=true&fmt=avif 2x",-
-,£640.19,Dell,8 GB,Intel Core i5,Compact,-,-
Desktop PC Differo OR1639220 500,£640.86,-,16 GB,Intel Core i7,-,-,-
-,£641.75,-,8 GB,Intel Core i3,Compact,-,-
-,£642.14,MSI,8 GB,-,Compact,-,-
-,£646.00,HP,8 GB,-,-,-,-
-,£646.52,Iggual,4 GB,-,-,-,-
Lenovo ThinkCentre M70q G3 11T3002USP,£646.85,Lenovo,8 GB,Intel Core i5,Compact,-,-
-,£647.69,Iggual,16 GB,-,-,-,-
-,£648.56,Acer,16 GB,Intel Core i5,-,-,-
Dell OptiPlex 3090 (967YC),£655.92,Dell,16 GB,Intel Core i5,Compact,-,-
-,£658.73,Iggual,-,Intel Core i5,-,-,-
MSI PC Cubi 5 12M-003EU Core,£662.16,MSI,8 GB,-,-,-,-
Iggual Desktop PC PSIPCH707 Core i7-12700,£663.61,Iggual,-,Intel Core i7,-,-,-
Iggual Desktop PSIPCH802 i7-12700 16,£674.19,Iggual,-,Intel Core i7,-,-,-
-,£675.38,Aopen,8 GB,-,Compact,-,-
-,£682.89,HP,8 GB,Intel Core i5,-,-,-
-,£683.65,Acer,-,-,-,-,-
Lenovo All in One THINKCENTRE NEO 30A,£691.47,Lenovo,8 GB,-,All-in-one,-,-
-,£691.91,Dell,8 GB,-,Compact,-,-
-,£693.26,Dell,8 GB,Intel Core i5,-,-,-
-,£694.61,Lenovo,8 GB,Intel Core i5,Compact,-,-
Lenovo PC THINKCENTRE NEO 50Q core i5-13420h,£701.88,Lenovo,8 GB,Intel Core i5,Tower,-,-
Huawei MateStation S 53011VYA,£701.88,Huawei,8 GB,AMD Ryzen 5,Compact,-,-
-,£703.85,HP,16 GB,-,-,-,-
-,£703.85,HP,16 GB,-,-,-,-
-,£712.36,HP,8 GB,Intel Core i5,-,-,-
-,£713.80,MSI,-,Intel Core i5,-,-,-
Medion ERAZER Recon E20 (MD35346),£715.45,Medion,8 GB,Intel Core i5,Compact,-,-
ASUS Mini PC PB62-B3208AH I3-10105 8GB DDR4 256G,£715.68,ASUS,8 GB,Intel Core i3,Compact,-,-
-,£718.23,MSI,8 GB,Intel Core i3,All-in-one,-,-
-,£718.23,MSI,8 GB,Intel Core i3,All-in-one,-,-
Lenovo Desktop pc THINKCENTRE M70S I5-12400 256,£730.22,Lenovo,8 GB,Intel Core i5,Compact,-,-
Lenovo Desktop NEO 50S G3 I5-12400,£736.96,Lenovo,16 GB,Intel Core i5,-,-,-
-,£748.00,Lenovo,16 GB,Intel Core i7,-,-,-
